CustomerID,Recency,Frequency,Monetary,Tenure,AOV,Cluster
12346,326,1,77183.6,1,77183.6,0
12347,2,7,4310.0,366,615.7142857142857,3
12348,75,4,1437.24,283,359.31,2
12349,19,1,1457.55,1,1457.55,0
12350,310,1,294.4,1,294.4,0
12352,36,7,1385.74,261,197.96285714285713,2
12353,204,1,89.0,1,89.0,1
12354,232,1,1079.4,1,1079.4,0
12355,214,1,459.4,1,459.4,0
12356,23,3,2487.43,303,829.1433333333333,3
12357,33,1,6207.67,1,6207.67,0
12358,2,2,928.0600000000001,150,464.03000000000003,2
12359,58,4,6372.58,275,1593.145,3
12360,52,3,2302.06,149,767.3533333333334,2
12361,287,1,174.9,1,174.9,1
12362,3,10,4737.23,293,473.72299999999996,3
12363,110,2,552.0,133,276.0,2
12364,8,4,1208.1,105,302.025,2
12365,291,1,320.69,1,320.69,0
12367,4,1,150.9,1,150.9,1
12370,51,4,3425.69,310,856.4225,3
12371,60,1,1527.96,1,1527.96,0
12372,72,3,1196.04,225,398.68,2
12373,311,1,324.6,1,324.6,0
12374,25,1,622.93,1,622.93,0
12375,11,2,377.5,88,188.75,2
12377,315,2,1548.12,40,774.06,0
12378,130,1,4008.62,1,4008.62,0
12379,82,2,777.24,89,388.62,2
12380,22,4,2427.81,165,606.9525,3
12381,5,3,1474.81,116,491.6033333333333,3
12383,185,5,1628.56,168,325.712,2
12384,29,2,425.27000000000004,93,212.63500000000002,2
12386,338,2,401.9,30,200.95,1
12388,16,6,2780.66,312,463.4433333333333,3
12390,80,1,504.84000000000003,1,504.84000000000003,0
12391,22,1,460.89,1,460.89,0
12393,72,4,1582.6000000000001,261,395.65000000000003,2
12394,64,2,1080.48,154,540.24,2
12395,19,12,2682.63,352,223.5525,3
12397,36,2,2214.9,100,1107.45,2
12398,46,1,1435.66,1,1435.66,0
12399,119,4,1033.65,143,258.4125,2
12401,303,1,69.3,1,69.3,1
12402,323,1,195.6,1,195.6,1
12403,50,1,391.7,1,391.7,0
12405,149,1,1390.39,1,1390.39,0
12406,22,2,3415.3,162,1707.65,3
12407,50,5,1507.1200000000001,215,301.42400000000004,2
12408,33,5,2618.55,228,523.71,3
12409,79,3,11072.67,104,3690.89,3
12410,309,2,533.33,1,266.665,0
12412,75,3,1142.88,95,380.96000000000004,2
12413,67,3,686.1,271,228.70000000000002,2
12414,217,3,442.41,94,147.47,2
12415,24,20,124564.53,314,6228.2265,3
12417,3,9,3226.1,355,358.4555555555555,3
12418,113,1,668.58,1,668.58,0
12420,64,1,600.39,1,600.39,0
12421,16,4,639.04,304,159.76,2
12422,96,3,683.5600000000001,230,227.85333333333335,2
12423,1,8,1634.31,353,204.28875,3
12424,163,2,1760.96,1,880.48,0
12425,78,1,777.2,1,777.2,0
12426,195,1,510.73,1,510.73,0
12427,22,3,699.8,350,233.26666666666665,2
12428,26,8,6405.26,258,800.6575,3
12429,9,4,3388.4,357,847.1,3
12430,43,1,216.4,1,216.4,1
12431,36,15,6382.45,339,425.49666666666667,3
12432,43,4,4359.32,130,1089.83,3
12433,1,7,13375.87,373,1910.8385714285716,3
12434,85,2,806.14,176,403.07,2
12435,80,2,7829.89,189,3914.945,3
12436,100,1,429.01000000000005,1,429.01000000000005,0
12437,2,18,4447.41,330,247.07833333333332,3
12438,14,2,2466.85,126,1233.425,3
12441,367,1,155.55,1,155.55,1
12442,3,1,144.06,1,144.06,1
12444,21,5,4085.46,150,817.092,3
12445,22,1,77.4,1,77.4,1
12446,58,1,1002.3100000000001,1,1002.3100000000001,0
12447,243,1,431.49,1,431.49,0
12448,44,1,365.45,1,365.45,0
12449,22,4,3596.29,165,899.0725,3
12450,156,2,197.88,18,98.94,1
12451,11,5,8995.52,314,1799.104,3
12452,17,1,348.57,1,348.57,0
12453,134,1,707.09,1,707.09,0
12454,56,1,3528.34,1,3528.34,0
12455,73,5,2339.86,224,467.97200000000004,2
12456,44,3,2581.04,211,860.3466666666667,2
12457,66,6,2043.23,173,340.53833333333336,2
12458,71,2,787.4,214,393.7,2
12461,155,1,626.88,1,626.88,0
12462,19,2,937.59,285,468.795,2
12463,53,4,1200.78,189,300.195,2
12464,10,8,957.05,300,119.63125,2
12465,17,2,682.1899999999999,153,341.09499999999997,2
12468,188,2,657.54,129,328.77,2
12471,2,27,17424.05,363,645.3351851851852,3
12472,32,7,6068.11,337,866.8728571428571,3
12473,54,3,2596.23,139,865.41,2
12474,17,18,6745.79,313,374.7661111111111,3
12475,54,1,669.38,1,669.38,0
12476,16,11,5898.42,346,536.22,3
12477,23,6,13219.74,279,2203.29,3
12478,4,1,545.99,1,545.99,0
12479,11,1,473.2,1,473.2,0
12480,28,4,2885.63,308,721.4075,3
12481,23,10,5020.32,343,502.032,3
